date	source	medium	sessions	bounces
2024-11-01	(direct)	(none)	5	3
2024-11-01	35.193.5.133	referral	2	1
2024-11-01	cran.r-project.org	referral	1	1
2024-11-01	facebook.com	referral	4	1
2024-11-01	github.com	referral	9	8
2024-11-01	google	organic	14	11
2024-11-02	(direct)	(none)	3	3
2024-11-02	bing	organic	1	1
2024-11-02	facebook.com	referral	1	1
2024-11-02	github.com	referral	2	1
2024-11-02	google	organic	2	2
2024-11-02	netpeak.net	referral	1	1
2024-11-03	(direct)	(none)	10	9
2024-11-03	github.com	referral	1	1
2024-11-03	google	organic	5	5
2024-11-04	(direct)	(none)	9	6
2024-11-04	35.189.64.97	referral	1	1
2024-11-04	facebook.com	referral	3	2
2024-11-04	github.com	referral	8	4
2024-11-04	google	organic	6	2
2024-11-04	habr.com	referral	1	1
2024-11-05	(direct)	(none)	5	5
2024-11-05	130.193.51.26	referral	1	1
2024-11-05	facebook.com	referral	8	4
2024-11-05	github.com	referral	14	12
2024-11-05	google	organic	16	12
2024-11-05	habr.com	referral	1	0
2024-11-05	rdocumentation.org	referral	1	1
2024-11-05	target.my.com	referral	1	0
2024-11-06	(direct)	(none)	8	7
2024-11-06	facebook.com	referral	3	2
2024-11-06	github.com	referral	2	1
2024-11-06	google	organic	9	8
2024-11-06	habr.com	referral	1	1
2024-11-07	(direct)	(none)	4	3
2024-11-07	facebook.com	referral	2	0
2024-11-07	github.com	referral	3	2
2024-11-07	google	organic	11	9
2024-11-07	habr.com	referral	1	1
2024-11-07	ppc.world	referral	1	0
2024-11-07	r-for-marketing.netpeak.net	referral	1	0
2024-11-07	rdocumentation.org	referral	1	1
2024-11-08	(direct)	(none)	5	5
2024-11-08	35.225.17.14	referral	4	2
2024-11-08	facebook.com	referral	6	4
2024-11-08	github.com	referral	7	3
2024-11-08	google	organic	8	6
2024-11-08	netpeak.net	referral	1	1